Section,#,Prompt
Listing titles (SEO),1,"Write 10 Etsy listing titles for [PRODUCT] aimed at [BUYER], each under 140 characters, front-loading the two most-searched phrases, no repeated words, no ALL CAPS."
Listing titles (SEO),2,"Rewrite this title so the first 40 characters carry the strongest keyword and the rest adds material, size and use case: [TITLE]. Give 5 variants."
Listing titles (SEO),3,"List 25 long-tail search phrases a buyer might type when looking for [PRODUCT] as a gift for [OCCASION]. Group them by intent: gift, personal use, bulk."
Listing titles (SEO),4,Take these three competitor titles and produce one better title that avoids their exact phrasing but covers the same searches: [TITLE 1] / [TITLE 2] / [TITLE 3].
Listing titles (SEO),5,"Suggest 8 title formulas for a shop that sells [CATEGORY], with a filled example for each formula."
Listing titles (SEO),6,"Audit this title for keyword stuffing and readability, then give a cleaner version that keeps the top three phrases: [TITLE]."
Listing titles (SEO),7,Write titles for the same [PRODUCT] in three sizes/variants so they do not compete with each other in search: [VARIANTS].
Listing titles (SEO),8,"Give me 10 seasonal title variations for [PRODUCT] for [HOLIDAY], to run only during that window."
Listing titles (SEO),9,"Which of these titles would you click first as a buyer, and why: [TITLES]. Rank them."
Listing titles (SEO),10,Turn this plain description of what I make into an Etsy title a real buyer would search for: [DESCRIPTION].
Listing descriptions,1,"Write an Etsy description for [PRODUCT]: opening line that repeats the main keyword naturally, 3 short benefit bullets, materials and dimensions, how it ships, a care note, and a one-line personalization instruction. Under 250 words."
Listing descriptions,2,"Rewrite this description in a warm, plain voice with no marketing clichés, keeping every fact: [DESCRIPTION]."
Listing descriptions,3,Write the first 160 characters of a description for [PRODUCT] so it reads well as the search snippet and includes [KEYWORD].
Listing descriptions,4,"Draft a 'What you get' section for a digital download of [PRODUCT]: file formats, sizes, what software opens it, what is NOT included, and a line about no physical item being shipped."
Listing descriptions,5,"Write a personalization section that tells buyers exactly what to enter in the personalization box for [PRODUCT], with two examples and a character limit."
Listing descriptions,6,"Create a materials and dimensions block for [PRODUCT] in the format Etsy buyers expect, using both inches and centimeters."
Listing descriptions,7,"Write 5 FAQ entries for [PRODUCT] covering sizing, shipping time, returns, custom orders and care, in the buyer's words."
Listing descriptions,8,Turn these customer questions from my messages into an FAQ section: [QUESTIONS].
Listing descriptions,9,"Write a gift-focused paragraph for [PRODUCT] for [RECIPIENT], mentioning gift wrap and a note option if I offer them: [YES/NO]."
Listing descriptions,10,"Rewrite my description so a screen reader would describe the product clearly (alt-text style clarity), then give me matching alt text for 5 photos."
Listing descriptions,11,Write a description for a made-to-order item with a [N]-day production time that sets expectations kindly and clearly.
Listing descriptions,12,"Condense this description to 120 words without losing materials, size or shipping info: [DESCRIPTION]."
Tags and attributes,1,"Give me exactly 13 Etsy tags for [PRODUCT], each 20 characters or fewer, multi-word phrases, no words already in the title, covering style, occasion, recipient, material and use."
Tags and attributes,2,Here is my title and current tags. Find overlaps and replace the redundant tags with new search angles: [TITLE] / [TAGS].
Tags and attributes,3,"Produce 13 tags for the same [PRODUCT] under three different buyer intents: gifting, home decor, and collector. Three lists."
Tags and attributes,4,"Suggest which Etsy attributes (color, material, occasion, holiday, style) fit [PRODUCT], and which to leave blank."
Tags and attributes,5,"List 20 adjacent niches whose buyers might also want [PRODUCT], with one tag idea for each."
Tags and attributes,6,"Convert these 40 keyword ideas into the best 13 tags, explaining the two you dropped and why: [KEYWORDS]."
Tags and attributes,7,"Write 13 tags for a [HOLIDAY] version of [PRODUCT], to swap in six weeks before the holiday."
Tags and attributes,8,Give me tags for [PRODUCT] in British and American spelling variants where it matters.
